id,date,likes,reposts,views,comment_count,comments_text
13296,2024-10-09 10:39:27,26,9,1593,2,"пусть Господь благословит средствами и даятелями, расположит сердца людей на жертвенность🙏🙏🙏 Поддерживаю."
13293,2024-10-08 14:12:00,10,1,703,1,"Святителю отче наш Тихоне, моли Бога о нас! С праздником! 

Слово в день памяти св. Тихона:"
13292,2024-10-08 13:59:46,28,3,924,0,
13286,2024-10-08 01:04:55,61,2,955,2,❤ Поклон о. Вадиму!🙏🏻 Гатчина - моя малая родина.
13285,2024-10-07 16:30:00,49,3,1154,0,
13283,2024-10-07 09:05:36,33,4,644,0,
13280,2024-10-07 08:45:39,33,3,643,0,
13278,2024-10-06 16:12:00,72,2,1479,0,
13273,2024-10-05 09:03:04,60,7,973,1,🕊Да воздаст вам Господь за Ваше милосердие🙏 я инвалид и я никому не нужен.
13272,2024-10-05 08:36:00,72,2,1563,2,Владимир Божьей помощи вам! Многие лета! У меня - ЕСТЬ! От прабабушки. Мастеру - БРАВО! Обязательно обращусь.
13269,2024-10-04 17:50:00,19,10,852,1,Будем рады встречи с каждым)
13268,2024-10-04 12:03:40,41,2,1185,0,
13264,2024-10-03 21:12:00,77,35,1417,2,Потрясающе! Не забыть бы ! Где-то еще объявления написать
13254,2024-10-03 11:26:26,27,9,1008,3,🙏❤  А можно до Оятнвщины приехать на своей машине и крикнуть к группе там?
13253,2024-10-03 11:09:11,104,5,901,0,
13240,2024-10-02 18:30:00,194,4,3234,10,"Дай Бог здоровья духовного и телесного храни вас Господь Бог🙏🙏🙏 С днём Ангела,дорогие Отцы!!!Как же нам Вас не хватает,очень скучаем!!!!Земной Вам поклон!!!Храни Вас Господь и Ангел Хранитель с Матерью Божией!!!Здоровья Вам крепкого,улыбок и Многая Лета!!!Всегда будем Вас ждать и надеяться на встречу!!!С БОГОМ!!!!☦️🙏🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹❣️👍 Многая лета 💐
Божьей помощи во всех ваших добрых делах!
Храни Вас Господь! МНОГАЯ ЛЕТА! 🙏🙏🙏🙏🙏 Многая и Благая Лета!! ❤❤❤🙏🙏🙏от всей души вас поздравляю и помню, без вас уже не то... С именинами, дорогие батюшки!
 Здоровья, помощи Божией и Многая Лета!🌹❤🙏
 Св.блгв. княже Олеже, моли Бога о нас!🙏 С именинами, дорогие батюшки!
 Здоровья, помощи Божией и Многая Лета🌷💐🌺🍁многая и благая лета!!!
 Св.блгв. Князе Олег🙏моли Бога о всех нас🙏🙏🙏  "
13239,2024-10-02 15:03:19,38,1,755,0,
13237,2024-10-02 08:44:54,33,3,617,0,
13233,2024-10-01 18:30:00,75,7,1165,1,
13229,2024-09-30 23:48:57,34,0,1104,0,
13222,2024-09-30 11:42:27,20,7,741,0,
13218,2024-09-30 08:08:00,137,5,1536,2," Мои любимые, поздравляю, помощи Божией)))"
13216,2024-09-29 23:25:01,12,2,713,0,
13210,2024-09-29 17:14:11,41,6,998,0,
13199,2024-09-29 10:15:10,393,25,3669,10,"Батюшка, наш любимый!! 🙏🤗От души поздравляем!! Желаем здоровья, Божьей помощи 🙏Очень скучаем.... ❤❤❤ Многая и благая лета, батюшка Олег!🙏❤💐 Многаеюя лета  💐 Благослови вас Господь на чудесный день, помощи Божией вам во всех делах! Поздравляю, храни вас Господь 🙏 Божией,Вам, помощи во всех делах! Здоровья и сердечной радости!🙏🙏🙏 🙏🙏🙏🙏🙏🙏🙏🙏
Многая, многая, многая лета 
🌿🌿🌿
Помощи Божией вам во всех делах! Многая лета🙏🙏🙏 Однако! Многая лета вам, отец Олег! Всей семье здоровья!
❤️‍🔥 Поздравляем, отец Олег! Приезжайте почаще! Пусто без Вас! 🙏🙏🙏"
13192,2024-09-27 16:48:13,190,11,3215,7,Знакомые все лица) поздравляю!!! 🙏 Слава Богу за всё! Поздравляю! Рада за вас! Слава Богу🙏🙏🙏!  Поздравляем!!! ПОЗДРАВЛЯЕМ!!!!👍👍👍🙏☦️
13190,2024-09-27 16:40:11,13,0,372,0,
13189,2024-09-27 12:35:46,34,4,619,0,
13188,2024-09-27 11:17:01,13,1,465,0,
13185,2024-09-27 07:53:54,25,1,523,0,
13184,2024-09-26 12:12:00,9,1,484,0,
13183,2024-09-25 16:12:00,44,8,1172,0,
13181,2024-09-24 19:02:49,21,2,858,0,
13175,2024-09-24 08:00:00,179,19,3184,3,"Благодарю за фото.Дорогие лица,многое вспомнилось.О.Владимир..м.Валерия..Ирина..Манефа  и Мария..всех помню.Батюшка был такой необычный,мудрый,а какие глаза у него были!-голубые..добрые..такие ясные и чистые.Вечная память. Прозорливый старец! Священники тех советских времен были разные, как и сейчас.
И все-же они больше всего были... Батюшками. 🌺"
13173,2024-09-23 21:15:22,50,4,1131,3,"Отец Олег... Лето... О. Олег вернулся на совсем и где он служит? Спасибо,я подумала может вернулся ..."
13171,2024-09-23 16:35:00,16,1,530,0,
13168,2024-09-23 14:28:45,19,2,916,0,
13163,2024-09-22 22:06:50,70,14,1148,4,Помяни Господи во Царствии Своëм о. Владимира 🙏🙏🙏 🙏 🙏 🙏 🙏🙏🙏светлая память батюшки Владимиру🙏🙏🙏💕💕💕
13161,2024-09-22 20:29:23,67,5,965,0,
13159,2024-09-22 17:58:26,82,0,1073,2,"Поздравляю всех с этим прекрасным событием! ❤️ Скажите, пожалуйста, можно ли прихожанину подняться на колокольню?"
13158,2024-09-22 17:48:38,41,4,928,0,
13155,2024-09-22 15:15:00,15,2,1092,0,
13154,2024-09-22 15:14:19,12,0,382,0,
13153,2024-09-22 14:43:55,19,1,407,0,
13151,2024-09-22 11:55:33,95,15,1055,1,Звук не реальный просто. Аж душу вытряхивает.  Очень круто❤❤❤
13150,2024-09-22 11:55:27,43,4,564,0,
13147,2024-09-21 21:32:14,38,3,981,1,Просто потрясающе!
13146,2024-09-19 17:30:00,19,2,609,0,
13145,2024-09-19 10:41:24,6,1,531,0,
13142,2024-09-18 08:12:00,13,0,586,0,
13139,2024-09-17 14:12:00,23,2,682,0,
13138,2024-09-16 12:12:00,24,1,661,0,
13130,2024-09-15 17:08:38,71,1,1201,4,"Многая и благая лета о. Константину!  Будьте здоровы и Богом хранимы!!!!!! С Днём Рождения, о. Константин! Многая и Благая лета Вам!"
13129,2024-09-15 17:01:57,104,4,1061,2, Красотища 👍👍Фото- супер😲😲
13128,2024-09-15 14:12:00,41,6,1673,0,
13127,2024-09-14 14:00:01,13,2,577,0,
13125,2024-09-13 14:12:00,15,2,554,0,
13124,2024-09-13 12:12:00,29,5,1134,0,
13121,2024-09-12 18:26:16,43,1,931,0,
13118,2024-09-12 12:48:58,17,1,595,0,
13117,2024-09-12 07:12:00,38,10,720,0,
13115,2024-09-11 22:08:32,17,2,721,0,
13114,2024-09-11 14:12:00,51,2,1235,0,
13112,2024-09-11 13:36:53,21,4,522,0,
13110,2024-09-11 09:12:00,51,10,2034,0,
13109,2024-09-10 14:12:00,23,2,836,0,
13108,2024-09-10 10:23:41,4,0,356,0,
13102,2024-09-08 23:07:51,59,0,1008,2,"Помоги Господи воину Валентину в святом его служении 🙏🙏🙏 Пресвятая Богородица защити, покрой его своим Амофором ❤️❤️❤️ 🙏🙏🙏"
13101,2024-09-08 15:12:00,23,0,996,0,
13099,2024-09-08 10:12:00,71,2,1322,2,"Здоровья всем Наташам, нашим дорогим! Многая лета! ❤🙏 Наталья Ивановна, здоровья Вам!Многая лета!🙏🙏🙏"
13092,2024-09-07 19:07:00,63,6,1356,7,Матерь Божья заступница и помощница 🙏🙏🙏 🙏🙏🙏 🙏🙏🙏 🙏🙏🙏❤ 🙏🙏🙏🙏🙏🙏🙏 Аминь 🙏🙏🙏
13091,2024-09-06 12:12:00,41,4,1178,0,
13090,2024-09-06 11:38:27,13,2,543,0,
13084,2024-09-05 09:07:03,60,10,1154,4,"Спаси, Господи, р.Б.Ольгу! Господи, помилуй🙏🏼🙏🏼🙏🏼 В группе скита написано, что нашлась, слава Богу!🙏🙏🙏 Слава Богу 🙏"
13079,2024-09-04 14:57:13,17,3,356,1,🙏
13078,2024-09-04 14:12:00,30,3,951,0,
13077,2024-09-04 12:25:55,48,4,714,1,Многая лета!!!
13074,2024-09-02 16:12:00,33,3,937,0,
13073,2024-09-02 12:12:00,35,5,725,0,
13070,2024-09-01 23:22:52,41,0,1062,0,
13067,2024-09-01 22:18:53,23,2,935,0,
13065,2024-08-31 16:49:22,58,14,1738,1,"Зверям для счастья нужна любовь, да😊"
13064,2024-08-30 19:12:00,29,7,1218,0,
13063,2024-08-30 08:25:58,33,2,968,0,
13059,2024-08-29 12:13:44,8,5,407,0,
13058,2024-08-29 00:34:14,23,3,813,0,
13057,2024-08-28 15:12:00,60,11,1439,0,
13056,2024-08-28 13:10:58,75,3,1639,0,
13054,2024-08-28 09:10:53,50,1,853,1,Царствие Небесное всем поминаемым здесь Владыкой Константином !!!
13053,2024-08-27 20:26:12,112,3,1363,0,
13052,2024-08-27 16:30:00,6,3,475,0,
13049,2024-08-27 10:14:09,74,10,1188,1,"Помоги им , Господи!!! Дай им сил и смирения, и терпения  понести эти тяжёлые испытания, гонения на православные церкви...🙏🙏🙏"
13047,2024-08-26 20:12:00,43,2,746,0,
13046,2024-08-26 07:30:00,93,20,1520,0,
13042,2024-08-25 17:12:00,32,1,928,0,
13041,2024-08-25 14:34:43,67,2,895,0,
13040,2024-08-25 13:32:47,35,2,1108,0,
13037,2024-08-23 11:14:22,35,5,1167,0,
13036,2024-08-23 00:48:02,66,4,1908,0,
13034,2024-08-22 12:31:24,50,11,1139,1,🙏🙏🙏
13033,2024-08-20 16:12:00,33,11,1117,0,
13030,2024-08-19 11:34:42,99,5,914,1,🙏❤🙏
13027,2024-08-18 22:42:22,52,7,1920,0,
13026,2024-08-18 21:12:00,22,2,701,0,
13025,2024-08-18 15:02:55,13,0,428,0,
13023,2024-08-18 12:12:00,44,1,1231,0,
13022,2024-08-18 11:28:53,29,0,663,0,
13021,2024-08-18 11:26:45,29,1,891,1,🙏🙏🙏
13013,2024-08-17 09:13:46,232,26,2785,8,"Радостная новость 🌺Очень жаль, что не успеваю вернуться из отпуска 🥲Всех благ отцу Олегу❤️ Слава Богу! Как хорошо!🌸 Многая благая лета отцу Олегу и его семье! Слава Богу!!!Очень соскучились,дорогой отец Олег!!!!Ждём Вашего возвращения в Петрозаводск!!!!❤️❤️❤️🙏☦️Как радостно,снова увидеть Вас!!!!!🌹🌹🌹🌹🌹🌹🌹👍 НАСОВСЕМ ??? !!! ... КОНЕЧНО -ЖЕ !!!!! Представляю как радостно сейчас будет тем, кто будет на службах 🥰🥰. Многая лета о. Олегу и всей семье! Слава Богу .🙏🙏🙏 Какая прекрасная новость!"
13005,2024-08-15 17:33:55,15,2,799,2,"Какие вы молодцы , что помогаете малоимущим! Я тоже помогаю как умею Скажите пожалуйста, а на фото продукты которые вы выдаёте малоимущим?"
13003,2024-08-15 17:01:48,13,3,529,0,
13001,2024-08-15 12:12:00,45,6,1016,0,
12998,2024-08-14 16:05:25,120,3,1633,0,
12997,2024-08-14 15:09:51,26,5,689,0,
12995,2024-08-14 10:08:46,49,4,806,3,"Царствие небесное!!!!! Царствие божьий был человек и лицо сияло ангельским светом  он нас венчал Один раз попала под его благословение,до сих пор помню его ласковый взгляд и слова"" у тебя всё будет хорошо!""  Вечная память ему!🙏🙏🙏"
12993,2024-08-13 14:12:00,74,8,1676,0,
12992,2024-08-13 13:40:35,50,5,2200,0,
12990,2024-08-13 09:48:29,28,8,724,0,
12989,2024-08-12 14:12:00,38,5,1022,0,
12987,2024-08-12 10:03:28,26,3,775,0,
12986,2024-08-12 00:31:30,34,4,1199,0,
12984,2024-08-11 20:10:24,38,4,1352,0,
12983,2024-08-11 14:12:00,53,4,1741,0,
12977,2024-08-09 11:00:27,22,0,759,0,
12971,2024-08-09 08:19:59,42,6,843,8,"🙏🙏🙏 🙏 🙏 Упокой его душу Господи 🙏🙏🙏 Царствие небесное🙏🙏🙏 🙏🙏🙏 Господи , милостивый, прости нас грешных! 
Упокой Господи, душу усопшего раба твоего новопреставленного воина Дионисия, прости его и даруй ему царствие небесное!!!🙏🙏🙏 🙏🙏🙏"
12969,2024-08-08 20:09:48,62,10,1728,0,
12963,2024-08-07 23:42:56,78,6,2489,3,"О Боже😭😣сейчас читаю и прям в недоумении. Господи спаси и сохрани🙏🙏🙏 не могу понять ,чем руководствуются люди которые так поступают. 🙏🙏🙏 🙏🏻🙏🏻🙏🏻"
12962,2024-08-07 15:30:00,58,5,1306,0,
12958,2024-08-06 21:36:07,22,10,911,0,
12956,2024-08-06 10:19:11,13,0,529,0,
12952,2024-08-05 16:12:00,34,0,961,0,
12950,2024-08-05 11:57:09,35,8,1811,2,Царствие Небесное всем убиенным и вечная память!🙏🙏🌹 🙏🙏🙏
12945,2024-08-04 20:28:56,34,4,703,0,
12944,2024-08-04 19:46:46,27,0,1040,0,
12940,2024-08-04 09:44:16,14,4,850,0,
12925,2024-08-03 19:24:29,93,3,1825,10," Спаси и сохрани, Господи рабу Твою болящую Ольгу.  Спаси и сохрани, Господи, р.б. Ольгу, помоги ей выздороветь и поддержи🙏 Господи, помилуй рабу твою Ольгу, даруй исцеление🙏🏼. Не оставь и не покинь🙏🏼🙏🏼🙏🏼 Господи, помилуй, спаси и сохрани рабу Ольгу и даруй ей выздоровление молитвами Пресвятой Твоей Матери и всех святых🙏🙏🙏 Спаси и сохрани, Господи, р. Б. Ольгу!🙏 Спаси и сохрани🙏 Спаси сохрани и Господи  помилуй р Б Ольгу !!!🙏 🙏🏻🙏🏻🙏🏻"
12920,2024-08-03 13:38:21,29,2,750,0,
12895,2024-08-02 12:01:59,33,1,857,0,
12869,2024-08-02 00:54:27,240,24,4185,10,"Господи, помоги, спаси и сохрани. Всё будет хорошо, моего внука крестили в реанимации, в эту же ночь была положительная динамика, верьте, молитесь непрестанно, по вере нашей будет нам. Господи помилуй!!!!!! Господи помоги 🙏!!! Помоги, Господи! 🙏 🙏🙏🙏 Господи помоги и исцели отроковицу Еву, умудри врачей помочь ей. Господи, спаси и сохрани  отроковицу Еву и даруй ей выздоровление во имя Пречистой Твоя Матери и всех Святых🙏🙏🙏 🙏🙏🙏🙏🙏 Пресвятая Богородице, моли Бога о отроковице Еве... Господи помоги!!!!!! 🙏"
12867,2024-08-01 20:12:00,72,4,1091,2,Завораживающия красотааа👍👍😍 Очень красивый храм
12866,2024-08-01 15:02:38,14,2,573,0,
12865,2024-08-01 15:00:17,6,3,496,0,
12863,2024-08-01 08:12:00,61,9,1783,0,
12861,2024-07-31 19:30:00,22,2,594,0,
12860,2024-07-31 15:12:57,7,1,442,0,
12858,2024-07-31 10:30:00,51,4,974,1,"Преподобный Отче Серафиме, моли Бога о нас!!!"
12857,2024-07-31 09:50:10,23,2,571,0,
12854,2024-07-30 22:56:25,48,2,1371,0,
12851,2024-07-30 20:12:00,15,2,860,0,
12845,2024-07-30 15:59:17,28,27,1108,5,"Спасибо большое Мерси ❤️ Спасибо очень приятно 🥰😍💖 Спасибо , Ира! Большое спасибо.❤"
12842,2024-07-30 12:48:33,52,5,886,3,"Царствие Небесное, вечная память отцу Владимиру ...🙏❤❤❤ 🙏🙏🙏 очень благодарна отцу Владимиру! Помню и всегда буду помнить! Царствия Небесного! Замечательную книгу  Со Старцем на Афон, прочитала, не отрываясь.  Во время путешествия б. Владимир всё время был рядом и трудности разрешались сами собой и даже мимолетные встречи были  не случайны.      Такого уровня духовности достигнуть непросто, но возможно.                              Автор описывает свой путь к Богу с помощью отца Владимира, который для нас всегда будет жив.   Книга написана хорошим литературным языком и прекрасно оформлена."
12841,2024-07-30 11:15:57,8,6,750,0,
12837,2024-07-28 20:58:29,24,8,964,0,
12834,2024-07-28 15:12:00,21,0,1200,0,
12832,2024-07-27 20:12:00,66,11,1933,1,Аминь
12817,2024-07-26 22:12:00,222,16,4789,10,"Царствие Небесное!🌹 🙏 Царствие Небесное!!! Помним....🌷🌷 🙏🙏🙏 Царствие Небесное 🙏 Царство Небесное !!! Аминь Таисия Ивановна, один из лучших чтецов. Незабвенная Милица Михайловна, биолог, изучавшая Саму Жизнь в алтаре, чистая невеста Христова! Вечная память...Вечный покой...Царствие Небесное.Мы,Вас любим! 🙏🙏🙏🙏 моих маму и папу звали Владимир и Таисия.Царствия Небесного🙏🙏🙏"
12815,2024-07-26 19:30:00,20,1,692,2,"Моли Бога о нас, отче Савва!🙏❤❤❤ А все начинается с благочестивых родителей, нам надо брать с них пример и тогда наши дети будут  Бога любить. Помоги нам , неразумным,  отче Савва."
12812,2024-07-26 17:03:51,17,0,782,0,
12810,2024-07-26 15:39:48,27,2,636,3,"Прекрасно! А я могилу бабушки найти не могу... К сожалению, документы были уничтожены  в свое время..У моего мужа там дед похоронен...Где точно, не знаем...."
12808,2024-07-26 12:12:00,33,2,857,0,
12806,2024-07-25 21:23:22,39,6,1844,0,
12804,2024-07-25 12:48:44,37,1,804,0,
12802,2024-07-24 23:37:30,30,1,605,1,Дай Бог
12801,2024-07-24 13:38:50,71,4,1370,0,
12800,2024-07-24 00:37:50,42,20,1521,0,
12786,2024-07-23 15:02:28,31,0,917,0,
12783,2024-07-23 14:45:51,83,2,1618,10,"Храни вас господь! Спасибо большое Нам очень нужна Божья помощь🙏🙏🙏 🙏🙏🙏 Помоги Господи и помилуй рабу Твою бол. Нину! Дай Бог здоровья! 🙏 Господи помоги рабе божьей Нине. Господь милосердный, исцели болящую рабу Твою, Нину🙏🙏🙏 Господи, помилуй, спаси и сохрани 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼 Дай бог здоровья Нине🙏🙏🙏 спаси и сохрани Дай Бог здоровья Нине."
12780,2024-07-21 22:35:06,22,1,969,0,
12779,2024-07-21 19:19:22,27,11,916,0,
12777,2024-07-21 11:12:00,34,3,740,1,"С Праздником, православные!"
12774,2024-07-20 15:10:38,6,3,847,1,Дорогие братья и сестры! Спасибо за поддержку
12773,2024-07-20 15:04:12,80,8,1502,1,"Огромная просьба, исправляйте грамматические ошибки сразу!"
12770,2024-07-17 16:55:41,37,10,756,1,СКЗ — Сулажгорский кирпичный завод.
12769,2024-07-16 17:02:48,26,4,737,0,
12764,2024-07-14 13:03:45,28,1,946,3,"Дорогому отцу Аркадию многая, многая,многая благая лета!!! 🌺🌺🌺 Батюшка, Аркадий, с Праздником! https://t.me/kareleparhia"
12763,2024-07-14 10:13:05,34,1,930,0,
12762,2024-07-13 19:23:00,15,2,1104,0,
12760,2024-07-13 15:14:13,50,2,1488,0,
12758,2024-07-12 12:12:00,2,0,327,0,
12757,2024-07-12 10:56:17,116,1,1365,0,
12755,2024-07-12 01:10:02,45,6,969,1,🙏🙏🙏
12752,2024-07-11 14:18:57,26,2,909,1,"26 исторических фактов об апостолах Петре и Павле, коротких, но интересных⏬ 
https://pravslov.ru/petr-i-pavel.html"
12750,2024-07-11 11:53:39,51,4,907,1,
12749,2024-07-10 07:45:29,62,2,1282,0,
12748,2024-07-09 10:07:12,185,27,3110,0,
12747,2024-07-08 07:33:03,58,2,1214,0,
12746,2024-07-08 07:21:18,32,2,1072,0,
12745,2024-07-08 07:17:50,15,1,938,0,
12743,2024-07-06 15:12:00,32,0,808,1,Воистину🙏
12742,2024-07-05 12:12:00,41,1,1248,0,
12740,2024-07-05 08:25:59,80,8,1061,0,
12738,2024-07-04 23:06:21,50,4,1641,0,
12736,2024-07-02 10:29:32,18,2,1162,0,
12732,2024-06-30 14:34:00,7,1,514,0,
12731,2024-06-30 09:44:49,35,8,1703,0,
12729,2024-06-30 08:12:00,24,1,987,0,
12728,2024-06-30 00:46:32,85,4,1035,0,
12722,2024-06-29 14:38:19,59,2,958,2,"От куда эта церковь кто может сказать, она похожа на Крестовоздвиженский Собор но не он это точно Это Крестовоздвиженский собор. Снято с высоты - уровня 16-этажа (дома на ул. Ал. Невского). При большом приближении с помощью зума все объекты приближаются соответственно. И кажется, что этот завод, расположенный на берегу Онеги, оказался так близко к Храму..."
12721,2024-06-29 14:12:00,38,1,982,0,
12720,2024-06-29 07:50:00,14,3,863,0,
12718,2024-06-28 22:20:59,23,3,717,0,
12716,2024-06-28 07:13:02,91,3,1665,0,
12714,2024-06-27 15:02:24,13,4,394,0,
12708,2024-06-27 12:07:16,72,7,946,5,"🙏 Преподобне отче Елисее,моли Бога о нас грешных!  Преподобне отче Елисее ,моли Боженьку о нас .Аминь. 🙏🙏🙏"
12706,2024-06-27 01:28:05,89,5,1194,1,"Преподобный отче Елисее,  моли Бога о нас!"
12704,2024-06-26 13:02:40,152,5,2575,0,
12697,2024-06-25 21:41:33,121,5,2137,1,🙏🏼🙏🏼🙏🏼утром до какого часа?
12696,2024-06-25 21:37:57,29,2,1061,1,26 июня это среда
12693,2024-06-24 21:39:29,35,2,698,0,
12687,2024-06-24 12:12:00,21,1,836,0,
12683,2024-06-24 11:42:16,303,19,2598,10,"Слава Господу!!!! Батюшка, наш любимый 😍💕🙏Скучаем..... ❤ Наш любимый батюшка 🙏❤️ Храни его Господи ❤️Венчал нас с мужем 🙏❤️ Очень не хватает этого батюшки!! Добрый !!! Храни его Господи!🙏🙏🙏 Батюшка  скучаем очень вас не хватает . напишите пожалуйста мне . я надеюсь все получиться скоро выйду замуж Спасибо, батюшка! И Вас с Праздником🌷🌱🌷Спаси и сохрани Вас Господь на всех  жизненных путях❤️ 🙏🙏🙏❤❤❤ С праздником о.Олег!Бог в помощь Вам в вашем служении. 🙏🙏🙏❤❤❤ Дорогой отец Олег!!!!Мы очень скучаем без Вас и Вашей Матушки.Спаси и Сохрани Вас Господи и всю Вашу семью.Надеемся,что Вы вернётесь к нам.Мы будем очень рады!!!!Вас со всеми Праздниками и началом поста!!!☦️❤️❤️❤️🌹🌹🌹🥰🥰🥰🌞🌞🌞🙏"
12682,2024-06-23 15:12:00,15,1,1154,0,
12679,2024-06-23 14:06:22,36,3,794,0,
12677,2024-06-23 12:35:42,105,5,1642,2,Благость Людям Кто Чтит Господа . Отца нашего Небестного!!!! Слава Господу!!!!
12675,2024-06-23 10:27:10,30,1,792,0,
12674,2024-06-23 07:03:00,12,1,717,0,
12672,2024-06-22 21:13:53,22,4,698,0,
12670,2024-06-22 17:06:18,46,3,1216,1,Потрясающе
12669,2024-06-22 14:30:00,26,3,858,0,
12668,2024-06-21 16:12:00,75,16,1668,0,
12659,2024-06-20 17:19:51,29,3,856,0,
12658,2024-06-20 17:18:35,56,2,919,0,
12657,2024-06-20 14:12:00,52,6,1838,0,
12654,2024-06-19 15:41:00,123,20,3878,0,
